start_seconds,end_seconds,start_timecode,end_timecode,scientific_name,common_name,confidence,track
573.0,576.0,00:09:33.000,00:09:36.000,Anser anser,Graylag Goose,0.6281,1
615.0,618.0,00:10:15.000,00:10:18.000,Botaurus stellaris,Great Bittern,0.2701,1
643.0,646.0,00:10:43.000,00:10:46.000,Botaurus stellaris,Great Bittern,0.5602,1
646.0,649.0,00:10:46.000,00:10:49.000,Botaurus stellaris,Great Bittern,0.7349,1
658.0,661.0,00:10:58.000,00:11:01.000,Botaurus stellaris,Great Bittern,0.7985,1
679.0,682.0,00:11:19.000,00:11:22.000,Botaurus stellaris,Great Bittern,0.9064,1
682.0,685.0,00:11:22.000,00:11:25.000,Botaurus stellaris,Great Bittern,0.7981,1
685.0,688.0,00:11:25.000,00:11:28.000,Botaurus stellaris,Great Bittern,0.7197,1
880.0,883.0,00:14:40.000,00:14:43.000,Botaurus stellaris,Great Bittern,0.4998,1
1395.0,1398.0,00:23:15.000,00:23:18.000,Fulica atra,Eurasian Coot,0.3518,1
1416.0,1419.0,00:23:36.000,00:23:39.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.8226,1
1425.0,1428.0,00:23:45.000,00:23:48.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.266,1
1480.0,1483.0,00:24:40.000,00:24:43.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.8656,1
1480.0,1483.0,00:24:40.000,00:24:43.000,Tadorna tadorna,Common Shelduck,0.3653,1
1483.0,1486.0,00:24:43.000,00:24:46.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9378,1
1486.0,1489.0,00:24:46.000,00:24:49.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9178,1
1489.0,1492.0,00:24:49.000,00:24:52.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9956,1
1495.0,1498.0,00:24:55.000,00:24:58.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.4574,1
1853.0,1856.0,00:30:53.000,00:30:56.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.6921,1
1856.0,1859.0,00:30:56.000,00:30:59.000,Fulica atra,Eurasian Coot,0.48,1
1890.0,1893.0,00:31:30.000,00:31:33.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.868,1
1893.0,1896.0,00:31:33.000,00:31:36.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.957,1
1930.0,1933.0,00:32:10.000,00:32:13.000,Corvus macrorhynchos,Large-billed Crow,0.6722,1
1936.0,1939.0,00:32:16.000,00:32:19.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.6096,1
1942.0,1945.0,00:32:22.000,00:32:25.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9115,1
1945.0,1948.0,00:32:25.000,00:32:28.000,Corvus macrorhynchos,Large-billed Crow,0.5813,1
1948.0,1950.0,00:32:28.000,00:32:30.000,Corvus macrorhynchos,Large-billed Crow,0.9118,1
1963.0,1966.0,00:32:43.000,00:32:46.000,Corvus macrorhynchos,Large-billed Crow,0.2648,1
1966.0,1969.0,00:32:46.000,00:32:49.000,Corvus macrorhynchos,Large-billed Crow,0.3421,1
1978.0,1980.0,00:32:58.000,00:33:00.000,Corvus macrorhynchos,Large-billed Crow,0.5904,1
1993.0,1996.0,00:33:13.000,00:33:16.000,Corvus macrorhynchos,Large-billed Crow,0.9079,1
1996.0,1999.0,00:33:16.000,00:33:19.000,Corvus macrorhynchos,Large-billed Crow,0.8769,1
2002.0,2005.0,00:33:22.000,00:33:25.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.8689,1
2008.0,2011.0,00:33:28.000,00:33:31.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.7404,1
2011.0,2014.0,00:33:31.000,00:33:34.000,Botaurus stellaris,Great Bittern,0.5244,1
2052.0,2055.0,00:34:12.000,00:34:15.000,Botaurus stellaris,Great Bittern,0.569,1
2223.0,2226.0,00:37:03.000,00:37:06.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.8204,1
2226.0,2229.0,00:37:06.000,00:37:09.000,Mareca penelope,Eurasian Wigeon,0.4434,1
2280.0,2283.0,00:38:00.000,00:38:03.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9018,1
2283.0,2286.0,00:38:03.000,00:38:06.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.6829,1
2286.0,2289.0,00:38:06.000,00:38:09.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.4448,1
2303.0,2306.0,00:38:23.000,00:38:26.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9948,1
2306.0,2309.0,00:38:26.000,00:38:29.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9988,1
2400.0,2403.0,00:40:00.000,00:40:03.000,Corvus macrorhynchos,Large-billed Crow,0.5425,1
2403.0,2406.0,00:40:03.000,00:40:06.000,Corvus macrorhynchos,Large-billed Crow,0.377,1
2406.0,2409.0,00:40:06.000,00:40:09.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9601,1
2420.0,2423.0,00:40:20.000,00:40:23.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9916,1
2429.0,2432.0,00:40:29.000,00:40:32.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9863,1
2432.0,2435.0,00:40:32.000,00:40:35.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9985,1
2435.0,2438.0,00:40:35.000,00:40:38.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9998,1
2438.0,2441.0,00:40:38.000,00:40:41.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9992,1
2441.0,2444.0,00:40:41.000,00:40:44.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9986,1
2444.0,2447.0,00:40:44.000,00:40:47.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9952,1
2447.0,2450.0,00:40:47.000,00:40:50.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9997,1
2660.0,2663.0,00:44:20.000,00:44:23.000,Fulica atra,Eurasian Coot,0.3005,1
2663.0,2666.0,00:44:23.000,00:44:26.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9455,1
2686.0,2689.0,00:44:46.000,00:44:49.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9469,1
2689.0,2692.0,00:44:49.000,00:44:52.000,Pyrrhocorax pyrrhocorax,Red-billed Chough,0.9465,1
