start_seconds,end_seconds,start_timecode,end_timecode
0.0,10.0,00:00:00.000,00:00:10.000
20.0,50.0,00:00:20.000,00:00:50.000
80.0,110.0,00:01:20.000,00:01:50.000
170.0,180.0,00:02:50.000,00:03:00.000
200.0,210.0,00:03:20.000,00:03:30.000
230.0,240.0,00:03:50.000,00:04:00.000
340.0,370.0,00:05:40.000,00:06:10.000
490.0,500.0,00:08:10.000,00:08:20.000
520.0,540.0,00:08:40.000,00:09:00.000
570.0,580.0,00:09:30.000,00:09:40.000
600.0,620.0,00:10:00.000,00:10:20.000
640.0,690.0,00:10:40.000,00:11:30.000
770.0,780.0,00:12:50.000,00:13:00.000
790.0,800.0,00:13:10.000,00:13:20.000
820.0,830.0,00:13:40.000,00:13:50.000
840.0,860.0,00:14:00.000,00:14:20.000
880.0,900.0,00:14:40.000,00:15:00.000
1130.0,1140.0,00:18:50.000,00:19:00.000
1280.0,1310.0,00:21:20.000,00:21:50.000
1380.0,1430.0,00:23:00.000,00:23:50.000
1480.0,1500.0,00:24:40.000,00:25:00.000
1850.0,1860.0,00:30:50.000,00:31:00.000
1890.0,1900.0,00:31:30.000,00:31:40.000
1930.0,1950.0,00:32:10.000,00:32:30.000
1960.0,1980.0,00:32:40.000,00:33:00.000
1990.0,2020.0,00:33:10.000,00:33:40.000
2040.0,2060.0,00:34:00.000,00:34:20.000
2140.0,2180.0,00:35:40.000,00:36:20.000
2220.0,2230.0,00:37:00.000,00:37:10.000
2280.0,2290.0,00:38:00.000,00:38:10.000
2300.0,2310.0,00:38:20.000,00:38:30.000
2400.0,2410.0,00:40:00.000,00:40:10.000
2420.0,2450.0,00:40:20.000,00:40:50.000
2660.0,2670.0,00:44:20.000,00:44:30.000
2680.0,2720.0,00:44:40.000,00:45:20.000
2840.0,2850.0,00:47:20.000,00:47:30.000
2900.0,2940.0,00:48:20.000,00:49:00.000
2960.0,2970.0,00:49:20.000,00:49:30.000
2980.0,2990.0,00:49:40.000,00:49:50.000
3030.0,3040.0,00:50:30.000,00:50:40.000
3070.0,3080.0,00:51:10.000,00:51:20.000
3100.0,3110.0,00:51:40.000,00:51:50.000
3170.0,3200.0,00:52:50.000,00:53:20.000
3230.0,3260.0,00:53:50.000,00:54:20.000
3360.0,3370.0,00:56:00.000,00:56:10.000
3420.0,3430.0,00:57:00.000,00:57:10.000
3450.0,3460.0,00:57:30.000,00:57:40.000
3480.0,3490.0,00:58:00.000,00:58:10.000
3750.0,3760.0,01:02:30.000,01:02:40.000
