start_seconds,end_seconds,start_timecode,end_timecode,score,flagged,track_1_score,track_1_rms_dbfs,track_1_low_frequency_ratio,track_1_spectral_flatness,track_1_peak,track_2_score,track_2_rms_dbfs,track_2_low_frequency_ratio,track_2_spectral_flatness,track_2_peak
0.0,10.0,00:00:00.000,00:00:10.000,0.86002,False,0.86002,-10.981,0.995938,0.029714,1.599407,0.822569,-9.154,0.997809,0.024401,1.771903
10.0,20.0,00:00:10.000,00:00:20.000,0.968424,True,0.968424,-10.088,0.996175,0.057625,2.137754,0.935012,-9.453,0.997229,0.044551,1.677646
20.0,30.0,00:00:20.000,00:00:30.000,0.857329,False,0.826085,-10.533,0.99098,0.024915,1.657986,0.857329,-10.286,0.994305,0.029312,2.071121
30.0,40.0,00:00:30.000,00:00:40.000,0.822468,False,0.783608,-9.362,0.979329,0.019537,1.486754,0.822468,-8.101,0.985596,0.024449,2.272264
40.0,50.0,00:00:40.000,00:00:50.000,0.825627,False,0.825627,-7.179,0.998021,0.024798,1.682787,0.736601,-9.596,0.997816,0.013749,1.600259
50.0,60.0,00:00:50.000,00:01:00.000,0.989311,True,0.989311,-19.606,0.978263,0.086434,0.519916,0.96788,-16.195,0.988469,0.057886,0.625886
60.0,70.0,00:01:00.000,00:01:10.000,0.962709,True,0.962709,-17.811,0.990279,0.055194,0.737308,0.832888,-13.777,0.997633,0.025833,1.516048
70.0,80.0,00:01:10.000,00:01:20.000,0.969911,True,0.969911,-20.486,0.976435,0.06022,0.575295,0.918809,-16.596,0.98429,0.040747,0.670463
80.0,90.0,00:01:20.000,00:01:30.000,0.930866,False,0.930866,-19.05,0.880252,0.047111,0.642848,0.921942,-17.607,0.896085,0.0436,0.774967
90.0,100.0,00:01:30.000,00:01:40.000,0.928143,False,0.888131,-12.03,0.952099,0.034768,1.351982,0.928143,-13.6,0.946602,0.043589,1.572896
100.0,110.0,00:01:40.000,00:01:50.000,0.860079,False,0.836639,-10.723,0.960485,0.026573,1.858312,0.860079,-12.267,0.970932,0.029918,1.109364
110.0,120.0,00:01:50.000,00:02:00.000,0.978151,True,0.978151,-22.825,0.968365,0.068635,0.432253,0.962099,-19.735,0.984631,0.055272,0.552501
120.0,130.0,00:02:00.000,00:02:10.000,0.961432,True,0.961432,-27.733,0.95693,0.058565,0.185302,0.945147,-24.186,0.978103,0.049075,0.31872
130.0,140.0,00:02:10.000,00:02:20.000,0.962289,True,0.962289,-22.988,0.991818,0.055829,0.455779,0.950408,-18.852,0.995166,0.049906,0.705783
140.0,150.0,00:02:20.000,00:02:30.000,0.955765,True,0.941253,-21.916,0.991987,0.047136,0.411847,0.955765,-20.397,0.993672,0.052234,0.375291
150.0,160.0,00:02:30.000,00:02:40.000,0.971441,True,0.971441,-19.881,0.993343,0.060526,0.507501,0.908987,-16.919,0.997052,0.038452,0.57245
160.0,170.0,00:02:40.000,00:02:50.000,0.986062,True,0.986062,-18.075,0.991481,0.075654,0.60911,0.965175,-16.111,0.99591,0.056168,0.629286
170.0,180.0,00:02:50.000,00:03:00.000,0.921954,False,0.921954,-22.921,0.993362,0.041841,0.377086,0.909923,-19.887,0.995764,0.038803,0.502404
180.0,190.0,00:03:00.000,00:03:10.000,0.953177,True,0.953177,-24.494,0.994814,0.051918,0.260149,0.902097,-20.557,0.997392,0.037212,0.36396
190.0,200.0,00:03:10.000,00:03:20.000,0.972079,True,0.972079,-25.824,0.99043,0.063407,0.240576,0.894674,-22.064,0.996261,0.035881,0.311262
200.0,210.0,00:03:20.000,00:03:30.000,0.919587,False,0.919587,-22.616,0.995093,0.041214,0.478193,0.917905,-19.086,0.99703,0.040518,0.697803
210.0,220.0,00:03:30.000,00:03:40.000,0.986403,True,0.986403,-23.343,0.988269,0.080685,0.405148,0.977678,-19.346,0.99378,0.065351,0.449779
220.0,230.0,00:03:40.000,00:03:50.000,0.968897,True,0.968897,-24.319,0.986033,0.060381,0.252548,0.863963,-20.501,0.995632,0.030541,0.421295
230.0,240.0,00:03:50.000,00:04:00.000,0.890282,False,0.890282,-25.691,0.995826,0.03543,0.242263,0.839994,-22.467,0.997725,0.027076,0.307206
240.0,250.0,00:04:00.000,00:04:10.000,0.982641,True,0.982641,-27.944,0.93547,0.095269,0.215151,0.96945,-24.443,0.971609,0.061406,0.413612
250.0,260.0,00:04:10.000,00:04:20.000,0.990003,True,0.988041,-25.722,0.964706,0.101852,0.30326,0.990003,-23.906,0.9672,0.108315,0.381816
260.0,270.0,00:04:20.000,00:04:30.000,0.962909,True,0.962909,-27.51,0.992724,0.058021,0.168898,0.914468,-23.783,0.995458,0.040151,0.27084
270.0,280.0,00:04:30.000,00:04:40.000,0.952707,True,0.952707,-28.967,0.993395,0.053579,0.134955,0.879932,-26.551,0.996755,0.033678,0.203868
280.0,290.0,00:04:40.000,00:04:50.000,0.971836,True,0.971836,-26.788,0.977879,0.064487,0.240621,0.925714,-23.171,0.99039,0.042855,0.370767
290.0,300.0,00:04:50.000,00:05:00.000,0.966471,True,0.966471,-24.051,0.989814,0.058578,0.309293,0.946106,-20.606,0.994044,0.048561,0.339451
300.0,310.0,00:05:00.000,00:05:10.000,0.971125,True,0.971125,-22.146,0.995785,0.060802,0.288877,0.901517,-17.734,0.997603,0.036955,0.687481
310.0,320.0,00:05:10.000,00:05:20.000,0.958907,True,0.958907,-22.966,0.988461,0.054221,0.306516,0.935,-19.927,0.993413,0.045008,0.421034
320.0,330.0,00:05:20.000,00:05:30.000,0.98149,True,0.98149,-20.751,0.992396,0.069961,0.412015,0.960954,-17.54,0.996072,0.054179,0.536681
330.0,340.0,00:05:30.000,00:05:40.000,0.991798,True,0.991798,-22.037,0.965908,0.149742,0.438053,0.991639,-20.113,0.978477,0.099769,0.405181
340.0,350.0,00:05:40.000,00:05:50.000,0.944741,False,0.944741,-26.967,0.992138,0.049431,0.188636,0.902879,-22.887,0.995853,0.037562,0.285334
350.0,360.0,00:05:50.000,00:06:00.000,0.936104,False,0.936104,-25.662,0.994134,0.046154,0.229979,0.892469,-22.621,0.997348,0.035502,0.306279
360.0,370.0,00:06:00.000,00:06:10.000,0.942286,False,0.942286,-23.625,0.993276,0.047717,0.317185,0.914756,-20.443,0.9954,0.039902,0.424131
370.0,380.0,00:06:10.000,00:06:20.000,0.97988,True,0.97988,-24.374,0.991707,0.070168,0.309907,0.871677,-21.178,0.996896,0.031796,0.350636
380.0,390.0,00:06:20.000,00:06:30.000,0.965334,True,0.965334,-29.092,0.974747,0.061519,0.167383,0.888946,-24.924,0.989479,0.035138,0.325702
390.0,400.0,00:06:30.000,00:06:40.000,0.983041,True,0.983041,-26.212,0.960187,0.081566,0.318782,0.944791,-22.137,0.984028,0.048474,0.584052
400.0,410.0,00:06:40.000,00:06:50.000,0.97755,True,0.97755,-32.504,0.976608,0.092566,0.105533,0.953897,-28.876,0.988137,0.054199,0.134757
410.0,420.0,00:06:50.000,00:07:00.000,0.963046,True,0.963046,-31.984,0.894889,0.07271,0.115383,0.929218,-28.867,0.941303,0.046049,0.169923
420.0,430.0,00:07:00.000,00:07:10.000,0.975956,True,0.969634,-32.802,0.903537,0.091411,0.142294,0.975956,-30.676,0.909748,0.097,0.141025
430.0,440.0,00:07:10.000,00:07:20.000,0.979369,True,0.979369,-32.234,0.980566,0.098915,0.11464,0.941242,-28.617,0.992605,0.048809,0.156088
440.0,450.0,00:07:20.000,00:07:30.000,0.96753,True,0.96753,-31.28,0.982218,0.066075,0.106411,0.921639,-28.696,0.991213,0.042944,0.192794
450.0,460.0,00:07:30.000,00:07:40.000,0.963337,True,0.963337,-31.221,0.986618,0.062143,0.13364,0.879766,-27.662,0.994081,0.033844,0.152299
460.0,470.0,00:07:40.000,00:07:50.000,0.974345,True,0.962923,-36.379,0.928303,0.114413,0.070982,0.974345,-31.817,0.965031,0.078937,0.097392
470.0,480.0,00:07:50.000,00:08:00.000,0.971163,True,0.971163,-34.336,0.939231,0.104719,0.39717,0.962668,-31.245,0.968935,0.062446,0.436088
